"EventID","MachineName","Data","EntryType","Message","Source","ReplacementStrings","TimeGenerated","TimeWritten","UserName"
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERDC5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF3D.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF4D.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF5B.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF9A.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERFDC.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_86a41054-6d7c-400c-aec7-1d3b0b0000c1

Analysis symbol: 
Rechecking for solution: 0
Report Id: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 01:36:08","18/05/2024 01:36:08",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERDC5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF3D.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF4D.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF5B.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF9A.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERFDC.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1

Analysis symbol: 
Rechecking for solution: 0
Report Id: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 01:36:04","18/05/2024 01:36:04",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x2d3c
Faulting application start time: 0x01daa899d4f0a8f9
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 01:36:02","18/05/2024 01:36:02",
"8128","DESKTOP-LUGE14R","System.Byte[]","Information","Using 'xpstar.dll' version '2022.160.1000' to execute extended stored procedure 'xp_instance_regread'. This is an informational message only; no user action is required.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:24:09","18/05/2024 01:24:09",
"33090","DESKTOP-LUGE14R","System.Byte[]","Information","Attempting to load library 'xpstar.dll' into memory. This is an informational message only. No user action is required.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:24:09","18/05/2024 01:24:09",
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:15:25","18/05/2024 01:15:25","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:15:25","18/05/2024 01:15:25","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 00:15:22","18/05/2024 00:15:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 00:15:22","18/05/2024 00:15:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 13:36:27","18/05/2024 13:36:27","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 13:36:27","18/05/2024 13:36:27","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
